Dzielniki: 17, 2311: 39287
Dzielniki: 11, 24103: 265133
Dzielniki: 3, 107: 321
Dzielniki: 67, 79: 5293
Dzielniki: 2, 3163: 6326
Dzielniki: 2, 2971: 5942
Dzielniki: 2, 393557: 787114
Dzielniki: 2, 17: 34
Dzielniki: 2, 2437: 4874
Dzielniki: 7, 1319: 9233
Dzielniki: 5, 184837: 924185
Dzielniki: 5, 271: 1355
Dzielniki: 5, 1979: 9895
Dzielniki: 2, 2267: 4534
Dzielniki: 2, 2069: 4138
Dzielniki: 7, 3613: 25291
Dzielniki: 37, 409: 15133
Dzielniki: 211, 401: 84611
Dzielniki: 47, 97: 4559
Dzielniki: 19, 2083: 39577
Dzielniki: 2, 45587: 91174
