nr_ankiet	pyt_5
101	6
102	5
103	5
107	6
108	6
111	5
113	5
116	5
118	6
124	6
126	5
127	5
131	5
132	5
134	4
135	4
136	6
138	6
140	6
141	6
144	5
145	5
148	5
150	5
151	5
152	5
153	5
154	5
155	5
162	4
163	6
166	5
168	4
169	4
171	5
172	5
173	5
175	5
178	5
181	5
182	5
185	5
186	5
187	6
189	5
191	5
192	6
194	5
195	5
198	6
199	5
202	5
203	5
206	6
210	4
211	5
212	5
213	5
214	4
215	5
216	5
217	5
218	4
219	6
220	5
221	5
222	4
224	5
226	5
227	5
228	5
231	5
232	5
233	5
235	3
236	5
237	5
239	3
241	3
242	4
243	3
247	5
249	5
251	5
252	5
253	5
254	5
255	5
257	5
260	4
262	3
264	6
265	6
266	6
267	6
270	5
271	5
272	5
273	5
276	5
277	5
279	5
282	4
284	4
291	5
292	5
293	5
294	5
295	5
296	5
297	5
298	5
299	5
300	5
301	5
302	5
305	5
308	4
310	6
312	5
313	6
314	5
315	5
316	5
319	5
320	5
321	5
323	5
324	5
325	5
326	5
327	5
328	5
329	5
330	5
331	6
332	5
333	5
334	5
335	5
336	5
337	5
339	4
340	5
341	5
342	5
343	5
344	5
347	5
348	5
349	6
350	5
351	5
353	5
354	5
355	5
358	5
359	5
360	5
361	5
362	5
366	5
368	5
369	4
370	5
371	5
372	5
373	5
374	5
375	6
376	6
382	5
383	4
384	5
385	5
387	5
388	5
389	5
390	5
391	5
392	5
393	1
395	6
397	2
398	6
399	6
