nr_ankiet	pyt_2	pyt_3	Wyr1
101	6	6	27
110	6	6	46
112	6	6	16
114	6	5	9
125	6	5	16
130	6	5	78
131	6	6	78
132	6	6	78
133	6	6	78
137	6	5	58
138	6	6	79
139	6	6	16
140	6	6	83
141	6	6	79
156	6	6	21
175	6	5	29
176	6	5	56
179	6	6	55
188	6	5	79
191	6	6	3
193	6	5	79
195	6	5	2
197	6	5	79
198	6	6	24
205	6	6	24
206	6	5	12
208	6	5	5
209	6	5	24
212	6	5	24
213	6	6	11
216	6	5	24
217	6	5	12
219	6	6	11
220	6	5	24
221	6	5	12
238	6	5	13
244	6	6	15
245	6	6	18
258	6	5	11
259	6	5	13
265	6	6	11
266	6	6	15
267	6	6	17
276	6	5	18
277	6	5	18
278	6	5	22
279	6	6	18
280	6	6	18
281	6	6	43
286	6	6	18
290	6	6	17
302	6	5	11
303	6	5	17
304	6	5	43
305	6	6	17
306	6	6	17
307	6	6	17
310	6	6	11
312	6	5	35
326	6	5	20
330	6	5	20
331	6	6	20
337	6	5	20
340	6	5	20
344	6	5	3
347	6	5	20
372	6	6	2
376	6	5	9
377	6	5	9
380	6	6	7
381	6	6	7
382	6	5	7
